ano,periodo,codigo_turma,codigo,nome_disciplina,id_tipo_componente,descricao,id_situacao_turma,id_discente,id_situacao_matricula,resultado,id_curriculo,ano_ingresso,periodo_ingresso,id_forma_ingresso
2023,1,05A,QXD0005,ARQUITETURA DE COMPUTADORES,2,DISCIPLINA,3,999000,4,APROVADO,13730020,2023,1,45
2023,1,8,QXD0103,"ÉTICA, DIREITO E LEGISLAÇÃO",2,DISCIPLINA,3,999000,4,APROVADO,13730020,2023,1,45
2023,1,12A,QXD0001,FUNDAMENTOS DE PROGRAMAÇÃO,2,DISCIPLINA,3,999000,4,APROVADO,13730020,2023,1,45
2023,1,4,QXD0108,INTRODUÇÃO À CIÊNCIA DA COMPUTAÇÃO,2,DISCIPLINA,3,999000,4,APROVADO,13730020,2023,1,45
2023,1,6,QXD0056,MATEMÁTICA BÁSICA,2,DISCIPLINA,3,999000,4,APROVADO,13730020,2023,1,45
2023,1,3,QXD0109,PRÉ-CÁLCULO,2,DISCIPLINA,3,999000,4,APROVADO,13730020,2023,1,45
2023,2,02A,QXD0006,CÁLCULO DIFERENCIAL E INTEGRAL I,2,DISCIPLINA,3,999000,4,APROVADO,13730020,2023,1,45
2023,2,02A,QXD0010,ESTRUTURA DE DADOS,2,DISCIPLINA,3,999000,4,APROVADO,13730020,2023,1,45
2023,2,03A,QXD0008,MATEMÁTICA DISCRETA,2,DISCIPLINA,3,999000,4,APROVADO,13730020,2023,1,45
2023,2,05A,QXD0007,PROGRAMAÇÃO ORIENTADA A OBJETOS,2,DISCIPLINA,3,999000,4,APROVADO,13730020,2023,1,45
2023,2,01A,QXD0013,SISTEMAS OPERACIONAIS,2,DISCIPLINA,3,999000,5,TRANCADO,13730020,2023,1,45
2024,1,01A,QXD0040,LINGUAGENS FORMAIS E AUTOMATOS,2,DISCIPLINA,1,999000,2,MATRICULADO,13730020,2023,1,45
2024,1,04A,QXD0017,LÓGICA PARA COMPUTAÇÃO,2,DISCIPLINA,1,999000,2,MATRICULADO,13730020,2023,1,45
2024,1,02A,QXD0012,PROBABILIDADE E ESTATÍSTICA,2,DISCIPLINA,1,999000,2,MATRICULADO,13730020,2023,1,45
2024,1,01A,QXD0114,PROGRAMAÇÃO FUNCIONAL,2,DISCIPLINA,1,999000,2,MATRICULADO,13730020,2023,1,45
2015,1,1,QXD0005,ARQUITETURA DE COMPUTADORES,2,DISCIPLINA,3,999001,6,REPROVADO,13730020,2015,1,45
2015,1,3,QXD0103,"ÉTICA, DIREITO E LEGISLAÇÃO",2,DISCIPLINA,3,999001,4,APROVADO,13730020,2015,1,45
2015,1,01A,QXD0001,FUNDAMENTOS DE PROGRAMAÇÃO,2,DISCIPLINA,3,999001,4,APROVADO,13730020,2015,1,45
2015,1,1,QXD0108,INTRODUÇÃO À CIÊNCIA DA COMPUTAÇÃO,2,DISCIPLINA,3,999001,4,APROVADO,13730020,2015,1,45
2015,1,1,QXD0056,MATEMÁTICA BÁSICA,2,DISCIPLINA,3,999001,4,APROVADO,13730020,2015,1,45
2015,1,1,QXD0109,PRÉ-CÁLCULO,2,DISCIPLINA,3,999001,6,REPROVADO,13730020,2015,1,45
